repo_name,language,stars,forks,created_at,description
afshinea/stanford-cme-295-transformers-large-language-models,Sin especificar,3804,520,2025-03-23T16:21:44Z,VIP cheatsheet for Stanford's CME 295 Transformers and Large Language Models
unhappychoice/gitlogue,Rust,3797,83,2025-11-08T21:22:33Z,"A cinematic Git commit replay tool for the terminal, turning your Git history into a living, animate"
basecamp/once-campfire,Ruby,3795,616,2025-08-15T09:57:36Z,
agentskills/agentskills,Python,3794,172,2025-12-16T15:47:19Z,Specification and documentation for Agent Skills
open-webui/mcpo,Python,3777,424,2025-03-30T10:03:03Z,"A simple, secure MCP-to-OpenAPI proxy server"
OpenHealthForAll/open-health,TypeScript,3766,407,2025-01-23T10:40:39Z,"OpenHealth, AI Health Assistant | Powered by Your Data"
travisvn/awesome-claude-skills,Sin especificar,3764,239,2025-10-16T20:42:39Z,"A curated list of awesome Claude Skills, resources, and tools for customizing Claude AI workflows — "
AndyMik90/Auto-Claude,Python,3761,489,2025-12-04T22:10:37Z,Autonomous multi-session AI coding
xai-org/grok-prompts,Jinja,3758,387,2025-05-15T20:58:16Z,Prompts for our Grok chat assistant and the `@grok` bot on X.
LearningCircuit/local-deep-research,Python,3753,361,2025-02-09T15:41:32Z,Local Deep Research achieves ~95% on SimpleQA benchmark (tested with GPT-4.1-mini). Supports local a
databasus/databasus,Go,3752,167,2025-06-05T13:10:03Z,"Databases backup tool (PostgreSQL, MySQL, MongoDB)"
CursorTouch/Windows-MCP,Python,3751,438,2025-05-13T02:27:53Z,MCP Server for Computer Use in Windows
sentient-agi/OpenDeepSearch,Python,3751,343,2025-03-20T14:29:49Z,SOTA search powered LLM
pshenok/server-survival,JavaScript,3743,434,2025-11-21T02:36:29Z,"Tower defense game that teaches cloud architecture. Build infrastructure, survive traffic, learn sca"
maillab/cloud-mail,JavaScript,3738,3153,2025-04-24T11:36:56Z,Cloud Mail - Simple Email Service on Cloudflare  | 基于 Cloudflare 的简约响应式邮箱服务  | Cloudflare Email 邮箱 M
CyberTimon/RapidRAW,TypeScript,3734,111,2025-06-13T20:16:40Z,"A beautiful, non-destructive, and GPU-accelerated RAW image editor built with performance in mind."
ByteDance-Seed/Depth-Anything-3,Python,3723,323,2025-11-12T08:44:03Z,Depth Anything 3
PeterGriffinJin/Search-R1,Python,3722,312,2025-02-28T15:14:47Z,"Search-R1: An Efficient, Scalable RL Training Framework for Reasoning & Search Engine Calling interl"
coderamp-labs/pad.ws,TypeScript,3721,194,2025-04-19T23:19:36Z,"Whiteboard as an IDE, draw and code in your browser"
modelcontextprotocol/csharp-sdk,C#,3720,591,2025-03-10T18:17:41Z,The official C# SDK for Model Context Protocol servers and clients. Maintained in collaboration with
IAmTomShaw/f1-race-replay,Python,3703,466,2025-11-21T17:37:05Z,An interactive Formula 1 race visualisation and data analysis tool built with Python! 🏎️
moondevonyt/moon-dev-ai-agents,Python,3701,1669,2025-01-01T13:33:16Z,autonomous ai agents for trading in python
anthropics/claude-agent-sdk-python,Python,3699,492,2025-06-11T21:33:43Z,
MoonshotAI/kimi-cli,Python,3696,365,2025-10-15T12:58:03Z,Kimi CLI is your next CLI agent.
OpenManus/OpenManus-RL,Python,3695,513,2025-03-06T19:01:51Z,A live stream development of RL tunning for LLM agents
zouzhekang/YJYpaper,HTML,3685,233,2025-07-29T06:23:12Z,一个用来记录武汉大学杨景媛论文问题的仓库
PrimeIntellect-ai/verifiers,Python,3666,456,2025-01-22T12:58:34Z,Our library for RL environments + evals
xxnuo/MTranServer,Go,3661,216,2025-02-06T16:34:43Z,"Offline translation server with low resource consumption, fast speed, and private deployment capabil"
RunanywhereAI/runanywhere-sdks,Kotlin,3652,90,2025-07-22T01:23:34Z,Production ready toolkit to run AI locally
claraverse-space/ClaraVerse,TypeScript,3633,409,2025-03-10T17:37:36Z,"ClaraVerse is a privacy-first, fully local AI workspace featuring a Local LLM chat powered by LLama."
Mirix-AI/MIRIX,Python,3630,332,2025-04-11T12:24:52Z,Mirix is a multi-agent personal assistant designed to track on-screen activities and answer user que
makenotion/notion-mcp-server,TypeScript,3630,418,2025-03-10T18:09:08Z,Official Notion MCP Server
groupultra/telegram-search,TypeScript,3627,235,2025-02-08T10:09:02Z,🔍 导出并模糊搜索 Telegram 聊天记录 | Export and fuzzy search your Telegram chat history
SandAI-org/MAGI-1,Python,3620,228,2025-04-21T10:34:09Z,MAGI-1: Autoregressive Video Generation at Scale
vladelaina/Catime,C,3620,143,2025-01-28T10:07:53Z,"A tiny (803KB) but mighty timer in pure C. Supports clock, countdown, stopwatch, Pomodoro, and fully"
vijaythecoder/awesome-claude-agents,Sin especificar,3615,438,2025-07-26T17:18:06Z,An orchestrated sub agent dev team powered by claude code
daveebbelaar/ai-cookbook,Python,3602,1261,2025-01-30T15:14:29Z,Examples and tutorials to help developers build AI systems
muratcankoylan/Agent-Skills-for-Context-Engineering,Python,3592,288,2025-12-21T02:43:42Z,"A comprehensive collection of Agent Skills for context engineering, multi-agent architectures, and p"
zhinianboke/xianyu-auto-reply,Python,3587,997,2025-07-24T04:04:11Z,闲鱼自动回复管理系统是一个基于 Python + FastAPI 开发的自动化客服系统，专为闲鱼平台设计。系统通过 WebSocket 连接闲鱼服务器，实时接收和处理消息，提供智能化的自动回复服务。
skyzh/tiny-llm,Python,3583,246,2025-04-19T20:01:33Z,A course of learning LLM inference serving on Apple Silicon for systems engineers: build a tiny vLLM
samhenrigold/LidAngleSensor,Objective-C,3583,145,2025-09-06T19:07:20Z,tfw when you when your lid when uhh angle your lid sensor
Sjj1024/PakePlus-iOS,Swift,3571,3871,2025-03-28T14:46:52Z,Turn any webpage/HTML/Vue/React and so on into desktop and mobile app under 5M with easy in few minu
JetBrains/koog,Kotlin,3570,283,2025-05-01T13:38:01Z,"Koog is the official Kotlin framework for building predictable, fault-tolerant and enterprise-ready "
mouredev/hello-java,Java,3566,301,2025-03-25T11:15:12Z,Curso para aprender el lenguaje de programación Java y Programación Orientada a Objetos (POO) desde 
MemTensor/MemOS,Python,3563,332,2025-07-06T09:51:27Z,"Build memory-native AI agents with Memory OS — an open-source framework for long-term memory, retrie"
evalstate/fast-agent,Python,3558,379,2025-01-18T20:39:51Z,"Define, Prompt and Test MCP enabled Agents and Workflows"
cloudflare/capnweb,TypeScript,3551,107,2025-06-08T02:51:20Z,"JavaScript/TypeScript-native, low-boilerplate, object-capability RPC system"
zai-org/GLM-4.5,Python,3547,372,2025-07-20T09:24:09Z,"GLM-4.5: Agentic, Reasoning, and Coding (ARC) Foundation Models"
ali-vilab/VACE,Python,3528,243,2025-03-08T07:58:12Z,[ICCV 2025] Official implementations for paper: VACE: All-in-One Video Creation and Editing
Michael-A-Kuykendall/shimmy,Rust,3517,262,2025-08-28T22:55:46Z,"⚡ Python-free Rust inference server — OpenAI-API compatible. GGUF + SafeTensors, hot model swap, aut"
ace-step/ACE-Step,Python,3516,424,2025-04-28T07:03:09Z,ACE-Step: A Step Towards Music Generation Foundation Model
